Game 1, Word: danseur, Wrong Guesses: 6, Final Guess: _anse_r
Game 2, Word: unhappy, Wrong Guesses: 6, Final Guess: ___a___
Game 3, Word: home, Wrong Guesses: 6, Final Guess: _o_e
Game 4, Word: reaching, Wrong Guesses: 6, Final Guess: re___ing
Game 5, Word: motherese, Wrong Guesses: 4, Final Guess: motherese
Game 6, Word: disport, Wrong Guesses: 3, Final Guess: disport
Game 7, Word: anxiety, Wrong Guesses: 6, Final Guess: an_iety
Game 8, Word: blastoff, Wrong Guesses: 6, Final Guess: _last___
Game 9, Word: butterflower, Wrong Guesses: 6, Final Guess: _utter__o_er
Game 10, Word: unmusically, Wrong Guesses: 6, Final Guess: un_u_ically
Game 11, Word: destruction, Wrong Guesses: 2, Final Guess: destruction
Game 12, Word: hematologic, Wrong Guesses: 3, Final Guess: hematologic
Game 13, Word: delirium, Wrong Guesses: 6, Final Guess: _elirium
Game 14, Word: malignity, Wrong Guesses: 6, Final Guess: _ali_nity
Game 15, Word: stalinise, Wrong Guesses: 3, Final Guess: stalinise
Game 16, Word: centrical, Wrong Guesses: 0, Final Guess: centrical
Game 17, Word: anurous, Wrong Guesses: 6, Final Guess: an_ro__
Game 18, Word: klondike, Wrong Guesses: 6, Final Guess: _londi_e
Game 19, Word: dockworker, Wrong Guesses: 6, Final Guess: _oc__or_er
Game 20, Word: cirrhus, Wrong Guesses: 6, Final Guess: _irrhus
Game 21, Word: jafar, Wrong Guesses: 6, Final Guess: _a_ar
Game 22, Word: huffishness, Wrong Guesses: 6, Final Guess: _u__is_ness
Game 23, Word: expand, Wrong Guesses: 6, Final Guess: e__and
Game 24, Word: insulant, Wrong Guesses: 6, Final Guess: in_ulant
Game 25, Word: mistrustfully, Wrong Guesses: 6, Final Guess: _istr_st__lly
Game 26, Word: neighborliness, Wrong Guesses: 6, Final Guess: nei_h_orliness
Game 27, Word: arere, Wrong Guesses: 5, Final Guess: arere
Game 28, Word: pecos, Wrong Guesses: 6, Final Guess: _e__s
Game 29, Word: pelvis, Wrong Guesses: 6, Final Guess: pel_is
Game 30, Word: bullbrier, Wrong Guesses: 3, Final Guess: bullbrier
Game 31, Word: fibreoptic, Wrong Guesses: 6, Final Guess: fi_re_ptic
Game 32, Word: antechamber, Wrong Guesses: 2, Final Guess: antechamber
Game 33, Word: decennium, Wrong Guesses: 4, Final Guess: decennium
Game 34, Word: grenadian, Wrong Guesses: 5, Final Guess: grenadian
Game 35, Word: refurnish, Wrong Guesses: 6, Final Guess: re_urnis_
Game 36, Word: cicuta, Wrong Guesses: 6, Final Guess: _i___a
Game 37, Word: mistflower, Wrong Guesses: 6, Final Guess: mist_lo_er
Game 38, Word: nucleoprotein, Wrong Guesses: 4, Final Guess: nucleoprotein
Game 39, Word: borrelia, Wrong Guesses: 4, Final Guess: borrelia
Game 40, Word: browne, Wrong Guesses: 6, Final Guess: _ro__e
Game 41, Word: kidskin, Wrong Guesses: 6, Final Guess: _i_s_in
Game 42, Word: heliotrope, Wrong Guesses: 3, Final Guess: heliotrope
Game 43, Word: superpatriotism, Wrong Guesses: 3, Final Guess: superpatriotism
Game 44, Word: animalize, Wrong Guesses: 6, Final Guess: ani_alize
Game 45, Word: exterior, Wrong Guesses: 6, Final Guess: exter_or
Game 46, Word: annexation, Wrong Guesses: 6, Final Guess: anne_ation
Game 47, Word: smouldering, Wrong Guesses: 6, Final Guess: s__ul_ering
Game 48, Word: kashag, Wrong Guesses: 6, Final Guess: _a__a_
Game 49, Word: ununquadium, Wrong Guesses: 6, Final Guess: ununqua_ium
Game 50, Word: hothead, Wrong Guesses: 6, Final Guess: _o__ead
Game 51, Word: hearer, Wrong Guesses: 6, Final Guess: _earer
Game 52, Word: aftershafted, Wrong Guesses: 6, Final Guess: a_ter__a_ted
Game 53, Word: ballpark, Wrong Guesses: 6, Final Guess: ball_ark
Game 54, Word: newsworthiness, Wrong Guesses: 5, Final Guess: newsworthiness
Game 55, Word: polypedates, Wrong Guesses: 5, Final Guess: polypedates
Game 56, Word: evanesce, Wrong Guesses: 6, Final Guess: e__nesce
Game 57, Word: surtout, Wrong Guesses: 6, Final Guess: sur_ou_
Game 58, Word: orthoptist, Wrong Guesses: 6, Final Guess: ortho_tist
Game 59, Word: hoodmould, Wrong Guesses: 6, Final Guess: _oo__o_l_
Game 60, Word: energy, Wrong Guesses: 6, Final Guess: ener_y
Game 61, Word: scurvy, Wrong Guesses: 6, Final Guess: ___r__
Game 62, Word: intermingle, Wrong Guesses: 3, Final Guess: intermingle
Game 63, Word: decussation, Wrong Guesses: 3, Final Guess: decussation
Game 64, Word: tigress, Wrong Guesses: 6, Final Guess: _i_ress
Game 65, Word: kazak, Wrong Guesses: 6, Final Guess: ka_ak
Game 66, Word: gerund, Wrong Guesses: 4, Final Guess: gerund
Game 67, Word: magnesia, Wrong Guesses: 4, Final Guess: magnesia
Game 68, Word: pediocactus, Wrong Guesses: 4, Final Guess: pediocactus
Game 69, Word: sands, Wrong Guesses: 6, Final Guess: san_s
Game 70, Word: premeditate, Wrong Guesses: 5, Final Guess: premeditate
